年月,港口別,總計,進口貨,出口貨,國內貨
200701,臺中港,4489499,3463711,481147,544641
200701,基隆港,2949580,1666846,665456,617278
200701,花蓮港,1772130,241428,271960,1258742
200701,臺北港,1296086,697305,965,597816
200701,安平港,979374,922960,3661,52753
200701,蘇澳港,558839,359789,94673,104377
200702,國際商港,19163162,12333810,3275317,3554035
200702,高雄港,10442295,7155797,2151466,1135032
200702,臺中港,3476072,2800741,325072,350259
200702,基隆港,2126473,1047045,424702,654726
200702,花蓮港,1307751,220030,213070,874651
200702,臺北港,924522,529495,425,394602
200702,安平港,472327,423887,4827,43613
200702,蘇澳港,413722,156815,155755,101152
200703,國際商港,22798535,14254079,4247067,4297389
200703,高雄港,12123642,8174900,2705135,1243607
200703,臺中港,4200166,3232132,491874,476160
200703,基隆港,2706806,1448049,702208,556549
200703,花蓮港,1683551,175472,257210,1250869
200703,臺北港,915804,337278,505,578021
200703,安平港,733516,663990,12585,56941
200703,蘇澳港,435050,222258,77550,135242
200704,國際商港,24342960,15299638,4562325,4480997
200704,高雄港,14109581,9999318,2862804,1247459
200704,臺中港,3853998,2880368,502466,471164
200704,基隆港,2551748,1247380,653727,650641
200704,花蓮港,1908366,278906,315930,1313530
200704,臺北港,713889,108916,595,604378
200704,蘇澳港,692453,330265,221928,140260
200704,安平港,512925,454485,4875,53565
200705,國際商港,22829718,13649138,4309428,4871152
200705,高雄港,12298900,8164445,2838525,1295930
200705,臺中港,4439781,3433080,487591,519110
200705,基隆港,2633526,1167791,657166,808569
200705,花蓮港,1653685,51222,215565,1386898
200705,臺北港,930782,313953,861,615968
200705,安平港,503313,444191,11045,48077
200705,蘇澳港,369731,74456,98675,196600
200706,國際商港,22386185,14122991,4243119,4020075
200706,高雄港,12404417,8393337,2815986,1195094
200706,臺中港,4165715,3393913,488032,283770
200706,基隆港,2469705,1245503,632164,592038
200706,花蓮港,1459851,197506,163455,1098890
200706,臺北港,942812,334224,762,607826
200706,蘇澳港,502239,167740,128500,205999
200706,安平港,441446,390768,14220,36458
200707,國際商港,24305954,15718725,4508630,4078599
200707,高雄港,12453386,8457604,2891656,1104126
200707,臺中港,5511777,4524414,626758,360605
200707,基隆港,2668126,1356478,646570,665078
200707,花蓮港,1570990,182371,167252,1221367
200707,臺北港,985993,424648,1144,560201
200707,蘇澳港,623114,321310,168450,133354
200707,安平港,492568,451900,6800,33868
200708,國際商港,22235644,14208619,4393173,3633852
200708,高雄港,12229281,8265137,2967010,997134
200708,臺中港,4580699,3672381,475216,433102
200708,基隆港,2409895,1170422,608291,631182
200708,花蓮港,1490143,272345,239040,978758
200708,臺北港,838169,389697,799,447673
